"filename", "language", "C++", "CSV", "XML", "JSON", "Markdown", "Log", "comment", "blank", "total"
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\Project3(HenBnb).vcxproj", "XML", 0, 0, -153, 0, 0, 0, 0, 0, -153
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\TODO.md", "Markdown", 0, 0, 0, 0, -4, 0, 0, -4, -8
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\calendar.cpp", "C++", -38, 0, 0, 0, 0, 0, -3, -11, -52
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\calendar.h", "C++", -7, 0, 0, 0, 0, 0, -1, -2, -10
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\date.cpp", "C++", -224, 0, 0, 0, 0, 0, -12, -31, -267
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\date.h", "C++", -59, 0, 0, 0, 0, 0, -1, -7, -67
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\dateinfo.cpp", "C++", -648, 0, 0, 0, 0, 0, -14, -54, -716
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\guest.cpp", "C++", -717, 0, 0, 0, 0, 0, -25, -55, -797
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\guest.h", "C++", -68, 0, 0, 0, 0, 0, -13, -17, -98
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\info.h", "C++", -229, 0, 0, 0, 0, 0, -19, -39, -287
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\interface.cpp", "C++", -57, 0, 0, 0, 0, 0, -5, -8, -70
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\interface.h", "C++", -10, 0, 0, 0, 0, 0, -4, -6, -20
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\landlord.cpp", "C++", -375, 0, 0, 0, 0, 0, -32, -34, -441
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\landlord.h", "C++", -29, 0, 0, 0, 0, 0, -6, -9, -44
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\main.cpp", "C++", -19, 0, 0, 0, 0, 0, -3, -7, -29
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\moneyinfo.cpp", "C++", -256, 0, 0, 0, 0, 0, 0, -18, -274
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\repairinfo.cpp", "C++", -293, 0, 0, 0, 0, 0, -1, -27, -321
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\reservedinfo.cpp", "C++", -125, 0, 0, 0, 0, 0, 0, -9, -134
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\room.cpp", "C++", -83, 0, 0, 0, 0, 0, 0, -10, -93
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\x64\Debug\Project3(HenBnb).log", "Log", 0, 0, 0, 0, 0, -2, 0, -1, -3
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\HighSchool.csv", "CSV", 0, 3350, 0, 0, 0, 0, 0, 1, 3351
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\MiddleSchool.csv", "CSV", 0, 1831, 0, 0, 0, 0, 0, 1, 1832
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\PrimarySchool.csv", "CSV", 0, 179, 0, 0, 0, 0, 0, 1, 180
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\Start.cpp", "C++", 253, 0, 0, 0, 0, 0, 4, 68, 325
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\Start.h", "C++", 61, 0, 0, 0, 0, 0, 3, 28, 92
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\Start.ui", "XML", 0, 0, 1594, 0, 0, 0, 0, 10, 1604
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\SwitchButton.cpp", "C++", 291, 0, 0, 0, 0, 0, 12, 63, 366
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\SwitchButton.h", "C++", 80, 0, 0, 0, 0, 0, 0, 23, 103
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\animationeffect.h", "C++", 37, 0, 0, 0, 0, 0, 0, 2, 39
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\book.cpp", "C++", 109, 0, 0, 0, 0, 0, 2, 12, 123
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\book.h", "C++", 83, 0, 0, 0, 0, 0, 1, 11, 95
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\build\Desktop_Qt_6_7_0_MSVC2019_64bit-Debug\.qtc_clangd\compile_commands.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\build\Desktop_Qt_6_7_0_MSVC2019_64bit-Debug\HighSchool .csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\build\Desktop_Qt_6_7_0_MSVC2019_64bit-Debug\HighSchool.csv", "CSV", 0, 3909, 0, 0, 0, 0, 0, 1, 3910
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\build\Desktop_Qt_6_7_0_MSVC2019_64bit-Debug\debug\moc_predefs.h", "C++", 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\build\Desktop_Qt_6_7_0_MSVC2019_64bit-Debug\star.csv", "CSV", 0, 3909, 0, 0, 0, 0, 0, 1, 3910
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\build\Desktop_Qt_6_7_1_MSVC2019_64bit-Debug\.qtc_clangd\compile_commands.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\build\Desktop_Qt_6_7_1_MSVC2019_64bit-Debug\debug\moc_predefs.h", "C++", 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\icon.cpp", "C++", 19, 0, 0, 0, 0, 0, 0, 7, 26
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\icon.h", "C++", 806, 0, 0, 0, 0, 0, 0, 12, 818
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\learn.cpp", "C++", 221, 0, 0, 0, 0, 0, 3, 59, 283
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\learn.h", "C++", 39, 0, 0, 0, 0, 0, 0, 16, 55
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\learn.ui", "XML", 0, 0, 667, 0, 0, 0, 0, 5, 672
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\main.cpp", "C++", 16, 0, 0, 0, 0, 0, 0, 3, 19
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\mycheckbox.h", "C++", 21, 0, 0, 0, 0, 0, 0, 13, 34
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\mytitlebar.cpp", "C++", 102, 0, 0, 0, 0, 0, 4, 17, 123
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\pic.qrc", "XML", 0, 0, 38, 0, 0, 0, 0, 1, 39
"d:\MyWorks\MyWorks\Experiment of programming\Project4(Wordhen)\Wordhen_Qmake\star.csv", "CSV", 0, 180, 0, 0, 0, 0, 0, 1, 181
"Total", "-", -1073, 13358, 2146, 2, -4, -2, -110, 10, 14327