pen|[pen]|n.钢笔|0|0
pencil|['pensl]|n.铅笔|0|0
pencil-case|['penslkeis]|n.铅笔盒|0|0
ruler|['ru:lə]|n.尺子|0|0
book|[buk]|n.书|0|0
bag|[bæg]|n.包|0|0
post card|[pəust kɑ:d]|n.明信片|0|0
newspaper|['nju:z,peipə]|n.报纸|0|0
schoolbag|[sku:lbæg]|n.书包|0|0
eraser|[i'reisə]|n.橡皮|0|0
crayon|['kreiən]|n.蜡笔|0|0
sharpener|['ʃɑ:pənə]|n.卷笔刀|0|0
story-book|['stɔ:ri buk]|n.故事书|0|0
notebook|['nəutbuk]|n.笔记本|0|0
Chinese book|['tʃai'ni:z]|n.语文书|0|0
English book|['iŋgliʃ]|n.英语书|0|0
math book|[mæθs]|n.数学书|0|0
magazine|[,mægə'zi:n]|n.杂志|0|0
dictionary|['dikʃə,nəri]|n.词典|0|0
foot|[fut]|n.脚|0|0
head|[hed]|n.头|0|0
face|[feis]|n.脸|0|0
hair|[hɛə]|n.头发|0|0
nose|[nəuz]|n.鼻子|0|0
mouth|[mauθ]|n.嘴|0|0
eye|[ai]|n.眼睛|0|0
ear|[iə]|n.耳朵|0|0
arm|[ɑ:m]|n.手臂|0|0
hand|[hænd]|n.手|0|0
finger|['fiŋgə]|n.手指|0|0
leg|[leg]|n.腿|0|0
tail|[teil]|n.尾巴|0|0
red|[red]|adj.红|0|0
blue|[blu:]|adj.蓝|0|0
yellow|['jɛləʊ]|adj.黄|0|0
green|[ɡriːn]|adj.绿|0|0
white|[waɪt]|adj.白|0|0
black|[blæk]|adj.黑|0|0
pink|[pɪŋk]|adj.粉红|0|0
purple|['pɜːrpl]|adj.紫色|0|0
orange|['ɒrɪndʒ]|adj.橙色|0|0
brown|[braʊn]|adj.棕色|0|0
cat|[kæt]|n.猫|0|0
dog|[dɔːɡ]|n.狗|0|0
pig|[pɪɡ]|n.猪|0|0
duck|[dʌk]|n.鸭|0|0
rabbit|[ˈræbɪt]|n.兔子|0|0
horse|[hɔːrs]|n.马|0|0
elephant|[ˈɛlɪfənt]|n.大象|0|0
ant|[ænt]|n.蚂蚁|0|0
fish|[fɪʃ]|n.鱼|0|0
bird|[bɜːrd]|n.鸟|0|0
snake|[sneɪk]|n.蛇|0|0
mouse|[maʊs]|n.鼠|0|0
kangaroo|[ˌkæŋɡəˈruː]|n.袋鼠|0|0
monkey|[ˈmʌŋki]|n.猴子|0|0
panda|[ˈpændə]|n.熊猫|0|0
bear|[beər]|n.熊|0|0
lion|[ˈlaɪən]|n.狮|0|0
tiger|[ˈtaɪɡə]|n.老虎|0|0
fox|[fɒks]|n.狐狸|0|0
zebra|['ziːbrə]|n.斑马|0|0
deer|[dɪər]|n.鹿|0|0
giraffe|[dʒɪˈrɑːf]|n.长颈鹿|0|0
goose|[ɡuːs]|n.鹅|0|0
hen|[hɛn]|n.母鸡|0|0
turkey|[ˈtɜːrki]|n.火鸡|0|0
lamb|[læm]|n.小羊|0|0
sheep|[ʃiːp]|n.绵羊|0|0
goat|[ɡəʊt]|n.山羊|0|0
cow|[kaʊ]|n.奶牛|0|0
shark|[ʃɑːk]|n.鲨鱼|0|0
seal|[siːl]|n.海豹|0|0
friend|[frend]|n.朋友|0|0
boy|[bɔɪ]|n.男孩|0|0
girl|[ɡɜːrl]|n.女孩|0|0
mother|[ˈmʌðə]|n.母亲|0|0
father|[ˈfɑːðə]|n.父亲|0|0
sister|[ˈsɪstə]|n.姐妹|0|0
brother|[ˈbrʌðə]|n.兄弟|0|0
uncle|[ˈʌŋkl]|n.叔叔|0|0
man|[mæn]|n.男人|0|0
woman|[ˈwʊmən]|n.女人|0|0
Mr.|[ˈmɪstər]|n.先生|0|0
Miss|[mɪs]|n.小姐|0|0
lady|[ˈleɪdi]|n.女士|0|0
mom|[mɒm]|n.妈妈|0|0
dad|[dæd]|n.爸爸|0|0
parents|[ˈpɛrənts]|n.父母|0|0
grandma|[ˈɡrændmɑː]|n.（外）祖母|0|0
grandmother|[ˈɡrændˌmʌðər]|n.（外）祖母|0|0
grandpa|[ˈɡrændpɑː]|n.（外）祖父|0|0
grandfather|[ˈɡrændˌfɑːðər]|n.（外）祖父|0|0
aunt|[ɑːnt]|n.阿姨|0|0
cousin|['kʌzn]|n.堂兄妹|0|0
son|[sʌn]|n.儿子|0|0
baby|['beɪbi]|n.婴儿|0|0
kid|[kɪd]|n.小孩|0|0
classmate|['klæsmeɪt]|n.同学|0|0
queen|[kwiːn]|n.女王|0|0
visitor|['vɪzɪtər]|n.参观者|0|0
neighbour|['neɪbər]|n.邻居|0|0
principal|['prɪnsəpəl]|n.校长|0|0
pen pal|['pɛnpæl]|n.笔友|0|0
tourist|['tʊərɪst]|n.旅行者|0|0
people|['piːpl]|n.人物|0|0
robot|['rəʊbɒt]|n.机器人|0|0
teacher|['tiːtʃər]|n.教师|0|0
student|['stjuːdənt]|n.学生|0|0
doctor|['dɒktər]|n.医生|0|0
nurse|[nɜːrs]|n.护士|0|0
driver|['draɪvər]|n.司机|0|0
farmer|['fɑːmər]|n.农民|0|0
singer|['sɪŋər]|n.歌唱家|0|0
writer|['raɪtər]|n.作家|0|0
artist|['ɑːtɪst]|n.画家|0|0
actor|['æktər]|n.男演员|0|0
actress|['æktrəs]|n.女演员|0|0
TV reporter|['tiːviː rɪˈpɔːtər]|n.电视台记者|0|0
engineer|[ˌendʒɪˈnɪər]|n.工程师|0|0
policeman|[ˈpɒlɪsmən]|n.（男）警察|0|0
salesperson|['seɪlzˌpɜːs(ə)n]|n.销售员|0|0
cleaner|['kliːnər]|n.清洁工|0|0
baseball player|['beɪsbɔːl ˈpleɪər]|n.棒球运动员|0|0
assistant|[əˈsɪst(ə)nt]|n.售货员|0|0
breakfast|['brekfəst]|n.早餐|0|0
lunch|[lʌn(t)ʃ]|n.中餐|0|0
dinner|['dɪnər]|n.晚餐|0|0
egg|[ɛɡ]|n.鸡蛋|0|0
rice|[rʌɪs]|n.米饭|0|0
cake|[keɪk]|n.蛋糕|0|0
bread|[brɛd]|n.面包|0|0
jam|[dʒam]|n.果酱|0|0
biscuit|['bɪskɪt]|n.饼干|0|0
sausage|[ˈsɒsɪdʒ]|n.香肠|0|0
sandwich|[ˈsænwɪdʒ]|n.三明治|0|0
meat|[miːt]|n.肉|0|0
dumplings|[ˈdʌmplɪŋz]|n.饺子|0|0
chicken|[ˈtʃɪkɪn]|n.鸡肉|0|0
French fries|[frɛntʃ fraɪz]|n.薯条|0|0
mutton|[ˈmʌt(ə)n]|n.羊肉|0|0
beef|[biːf]|n.牛肉|0|0
pork|[pɔːk]|n.猪肉|0|0
fish|[fɪʃ]|n.鱼|0|0
hamburger|[ˈhæmbəˌɡər]|n.汉堡|0|0
hot dog|[hɒt dɒɡ]|n.热狗|0|0
noodles|[ˈnuːd(ə)lz]|n.面条|0|0
soup|[suːp]|n.汤|0|0
salad|[ˈsaləd]|n.沙拉|0|0
milk|[mɪlk]|n.牛奶|0|0
water|[ˈwɔːtə]|n.水|0|0
ice-cream|[ˈaɪs.kriːm]|n.冰淇淋|0|0
cola|[ˈkəʊlə]|n.可乐|0|0
juice|[dʒuːs]|n.果汁|0|0
tea|[tiː]|n.茶|0|0
coffee|[ˈkɒfi]|n.咖啡|0|0
fruit|[fruːt]|n.水果|0|0
apple|[ˈæpl]|n.苹果|0|0
banana|[bəˈnænə]|n.香蕉|0|0
pear|[pɛər]|n.梨|0|0
orange|[ˈɒrɪndʒ]|n.橙|0|0
watermelon|[ˈwɔːtərmɛlən]|n.西瓜|0|0
grape|[ɡreɪp]|n.葡萄|0|0
cherry|[ˈtʃɛri]|n.樱桃|0|0
lemon|[ˈlɛmən]|n.柠檬|0|0
mango|[ˈmæŋɡoʊ]|n.芒果|0|0
coconut|[ˈkoʊkənʌt]|n.椰子|0|0
peach|[piːtʃ]|n.桃|0|0
strawberry|[ˈstrɔːbəri]|n.草莓|0|0
vegetable|[ˈvɛdʒtəbəl]|n.蔬菜|0|0
pea|[piː]|n.豌豆|0|0
tomato|[təˈmeɪtoʊ]|n.西红柿|0|0
onion|[ˈʌnjən]|n.洋葱|0|0
eggplant|[ˈɛɡplɑːnt]|n.茄子|0|0
potato|[pəˈteɪtoʊ]|n.土豆|0|0
green beans|[ɡriːn biːnz]|n.青豆|0|0
carrot|[ˈkærət]|n.胡萝卜|0|0
cabbage|[ˈkæbɪdʒ]|n.卷心菜|0|0
cucumber|[ˈkjuːkʌmbər]|n.黄瓜|0|0
pumpkin|[ˈpʌmpkɪn]|n.南瓜|0|0
sweet potato|[swiːt pəˈteɪtoʊ]|n.红薯|0|0
